return_id,order_id,order_number,customer_id,product_id,return_date,quantity_returned,unit_price,return_reason
29,747,ORD-000747,148,32,2022-07-21,4,14.99,Not as described
30,1069,ORD-001069,114,15,2023-01-20,2,49.99,Wrong item received
31,1144,ORD-001144,23,22,2024-05-03,2,59.99,Changed mind
32,29,ORD-000029,118,32,2023-04-05,4,14.99,Defective product
33,1022,ORD-001022,200,6,2023-12-12,2,299.99,Defective product
34,305,ORD-000305,73,22,2023-11-26,4,59.99,Not as described
35,879,ORD-000879,8,6,2024-07-07,2,299.99,Better price found
36,674,ORD-000674,172,11,2023-04-10,1,19.99,Better price found
37,444,ORD-000444,93,10,2024-11-16,4,39.99,Wrong item received
38,327,ORD-000327,138,25,2022-08-26,3,59.99,Defective product
39,1882,ORD-001882,10,10,2023-10-09,3,39.99,Not as described
40,339,ORD-000339,57,37,2023-10-13,5,24.99,Changed mind
41,968,ORD-000968,181,4,2024-01-31,5,699.99,Not as described
42,770,ORD-000770,65,39,2024-01-10,3,14.99,Defective product
43,158,ORD-000158,140,2,2024-09-29,1,1199.99,Better price found
44,1682,ORD-001682,183,23,2022-11-24,1,49.99,Damaged in shipping
45,1432,ORD-001432,196,14,2024-04-03,1,34.99,Defective product
46,1575,ORD-001575,17,35,2024-12-22,1,24.99,Changed mind
47,1917,ORD-001917,128,11,2023-11-04,2,19.99,Not as described
48,1494,ORD-001494,43,22,2024-11-10,5,59.99,Better price found
49,444,ORD-000444,93,12,2024-11-12,2,59.99,Wrong item received
50,844,ORD-000844,127,17,2024-12-06,2,34.99,Better price found
51,1512,ORD-001512,101,17,2023-05-27,2,34.99,Defective product
52,1966,ORD-001966,59,19,2022-02-15,1,14.99,Better price found
53,404,ORD-000404,89,24,2022-02-07,4,89.99,Damaged in shipping
54,1213,ORD-001213,4,8,2022-12-16,2,29.99,Wrong item received
55,817,ORD-000817,40,30,2022-08-12,4,29.99,Better price found
56,418,ORD-000418,43,31,2024-04-27,4,19.99,Not as described
57,487,ORD-000487,142,24,2022-09-07,1,89.99,Better price found
58,304,ORD-000304,106,37,2024-01-18,1,24.99,Damaged in shipping
59,1629,ORD-001629,72,22,2024-04-14,2,59.99,Not as described
60,1766,ORD-001766,149,24,2022-02-13,1,89.99,Better price found
61,765,ORD-000765,1,17,2023-11-24,4,34.99,Damaged in shipping
62,826,ORD-000826,56,39,2023-02-19,3,14.99,Defective product
63,1036,ORD-001036,114,25,2024-09-03,1,59.99,Damaged in shipping
64,1749,ORD-001749,121,16,2022-10-18,1,39.99,Changed mind
65,353,ORD-000353,52,18,2023-07-20,3,129.99,Changed mind
66,1916,ORD-001916,168,10,2024-12-19,1,39.99,Better price found
67,578,ORD-000578,27,11,2022-09-21,1,19.99,Damaged in shipping
68,22,ORD-000022,133,13,2023-08-23,2,49.99,Changed mind
69,977,ORD-000977,22,15,2024-05-09,1,49.99,Not as described
70,1757,ORD-001757,150,3,2022-12-01,3,1599.99,Damaged in shipping
71,1568,ORD-001568,139,35,2022-10-15,5,24.99,Better price found
72,1595,ORD-001595,168,13,2023-08-31,1,49.99,Not as described
73,128,ORD-000128,166,9,2023-06-13,3,79.99,Not as described
74,1398,ORD-001398,24,32,2023-07-08,1,14.99,Not as described
75,1596,ORD-001596,115,29,2024-11-05,3,44.99,Damaged in shipping
76,1238,ORD-001238,3,25,2022-01-13,2,59.99,Defective product
77,1859,ORD-001859,98,6,2024-05-01,2,299.99,Defective product
78,635,ORD-000635,117,15,2022-04-16,4,49.99,Not as described
79,670,ORD-000670,5,26,2022-08-24,1,79.99,Damaged in shipping
80,758,ORD-000758,197,19,2023-05-31,2,14.99,Not as described
81,542,ORD-000542,159,9,2023-10-15,4,79.99,Defective product
82,1908,ORD-001908,188,36,2023-10-02,4,149.99,Wrong item received
83,1912,ORD-001912,95,37,2023-06-29,1,24.99,Defective product
84,1805,ORD-001805,156,38,2024-05-06,2,34.99,Damaged in shipping
85,1393,ORD-001393,136,39,2023-12-09,1,14.99,Better price found
86,1143,ORD-001143,199,32,2022-05-29,1,14.99,Damaged in shipping
87,310,ORD-000310,40,9,2024-04-12,1,79.99,Not as described
88,1154,ORD-001154,97,7,2024-10-23,3,49.99,Wrong item received
89,187,ORD-000187,61,20,2024-09-23,1,29.99,Damaged in shipping
90,528,ORD-000528,176,25,2025-01-11,1,59.99,Not as described
91,1096,ORD-001096,190,12,2023-09-12,2,59.99,Wrong item received
92,1515,ORD-001515,173,26,2022-08-10,1,79.99,Better price found
93,1757,ORD-001757,150,21,2022-12-08,1,34.99,Damaged in shipping
94,940,ORD-000940,28,10,2023-04-01,3,39.99,Damaged in shipping
95,1405,ORD-001405,121,2,2024-11-22,1,1199.99,Better price found
96,891,ORD-000891,172,18,2024-09-04,1,129.99,Wrong item received
97,187,ORD-000187,61,32,2024-09-08,1,14.99,Not as described
98,1689,ORD-001689,104,26,2024-02-26,3,79.99,Damaged in shipping
99,1073,ORD-001073,101,13,2024-05-29,1,49.99,Defective product
100,1635,ORD-001635,167,6,2024-12-21,1,299.99,Changed mind
101,1159,ORD-001159,177,15,2023-08-31,3,49.99,Not as described
102,1712,ORD-001712,59,34,2022-10-06,1,89.99,Defective product
103,1722,ORD-001722,65,23,2023-12-31,3,49.99,Damaged in shipping
104,615,ORD-000615,8,25,2024-07-24,2,59.99,Better price found
105,1754,ORD-001754,141,27,2022-04-16,2,24.99,Damaged in shipping
106,547,ORD-000547,30,10,2024-10-19,1,39.99,Damaged in shipping
107,1034,ORD-001034,58,40,2023-11-13,3,12.99,Better price found
108,1418,ORD-001418,179,4,2023-12-08,1,699.99,Changed mind
109,1553,ORD-001553,13,16,2024-09-30,1,39.99,Changed mind
110,428,ORD-000428,164,32,2022-04-05,3,14.99,Not as described
111,1308,ORD-001308,119,10,2024-05-30,1,39.99,Defective product
112,547,ORD-000547,30,6,2024-11-05,1,299.99,Not as described
113,51,ORD-000051,180,6,2024-09-24,1,299.99,Better price found
114,1649,ORD-001649,84,7,2022-05-02,1,49.99,Better price found
115,863,ORD-000863,55,38,2023-04-14,5,34.99,Defective product
116,1289,ORD-001289,105,12,2023-06-03,2,59.99,Not as described
117,1566,ORD-001566,180,17,2023-08-24,2,34.99,Not as described
118,400,ORD-000400,54,35,2024-06-14,2,24.99,Not as described
119,1892,ORD-001892,22,31,2022-03-05,1,19.99,Defective product
120,535,ORD-000535,119,26,2023-07-09,3,79.99,Damaged in shipping
121,1170,ORD-001170,169,21,2024-07-14,1,34.99,Not as described
122,985,ORD-000985,178,4,2024-08-22,1,699.99,Changed mind
123,696,ORD-000696,78,10,2025-01-06,1,39.99,Better price found
124,1026,ORD-001026,190,35,2023-06-24,1,24.99,Defective product
125,1210,ORD-001210,5,32,2024-09-15,1,14.99,Damaged in shipping
126,260,ORD-000260,28,35,2022-06-29,2,24.99,Not as described
127,1896,ORD-001896,104,17,2023-08-30,1,34.99,Better price found
128,1272,ORD-001272,100,33,2022-06-02,1,24.99,Defective product
129,537,ORD-000537,58,19,2023-03-16,1,14.99,Damaged in shipping
130,1796,ORD-001796,12,34,2023-01-31,1,89.99,Better price found
131,507,ORD-000507,43,25,2024-06-12,4,59.99,Wrong item received
132,549,ORD-000549,20,38,2024-11-07,1,34.99,Damaged in shipping
133,588,ORD-000588,109,8,2022-09-01,1,29.99,Not as described
134,1130,ORD-001130,80,26,2024-12-11,3,79.99,Changed mind
135,25,ORD-000025,165,14,2024-10-19,3,34.99,Changed mind
136,342,ORD-000342,200,15,2023-12-19,1,49.99,Not as described
137,1731,ORD-001731,171,16,2022-07-05,1,39.99,Better price found
138,588,ORD-000588,109,17,2022-08-23,5,34.99,Damaged in shipping
139,1138,ORD-001138,148,32,2022-05-21,5,14.99,Changed mind
140,1312,ORD-001312,73,29,2022-05-15,2,44.99,Not as described
141,534,ORD-000534,101,2,2024-03-16,1,1199.99,Not as described
142,969,ORD-000969,93,27,2023-02-25,1,24.99,Defective product
143,1453,ORD-001453,15,39,2023-08-13,1,14.99,Better price found
144,548,ORD-000548,73,37,2023-01-10,1,24.99,Not as described
145,1785,ORD-001785,45,28,2022-07-04,4,39.99,Defective product
146,1335,ORD-001335,82,27,2023-05-21,1,24.99,Better price found
147,605,ORD-000605,47,27,2022-07-21,1,24.99,Defective product
148,577,ORD-000577,118,36,2022-09-07,1,149.99,Damaged in shipping
149,36,ORD-000036,123,27,2024-12-26,1,24.99,Wrong item received
150,294,ORD-000294,52,1,2023-06-28,1,899.99,Better price found
151,539,ORD-000539,159,9,2023-06-03,3,79.99,Wrong item received
152,517,ORD-000517,107,34,2023-06-25,1,89.99,Not as described
153,799,ORD-000799,107,27,2023-01-28,2,24.99,Changed mind
154,887,ORD-000887,175,27,2023-02-27,3,24.99,Damaged in shipping
155,281,ORD-000281,180,1,2022-08-13,1,899.99,Not as described
156,932,ORD-000932,170,30,2023-07-10,1,29.99,Damaged in shipping
157,1842,ORD-001842,102,38,2022-06-12,4,34.99,Defective product
158,1854,ORD-001854,193,26,2024-08-15,1,79.99,Defective product
159,558,ORD-000558,21,16,2024-10-06,3,39.99,Not as described
160,1927,ORD-001927,39,9,2023-05-27,2,79.99,Changed mind
161,33,ORD-000033,11,9,2022-04-01,3,79.99,Changed mind
162,38,ORD-000038,137,36,2024-01-10,2,149.99,Damaged in shipping
163,1966,ORD-001966,59,20,2022-02-08,5,29.99,Defective product
164,1354,ORD-001354,164,13,2022-05-29,1,49.99,Better price found
165,1279,ORD-001279,79,18,2023-12-11,1,129.99,Defective product
166,542,ORD-000542,159,38,2023-09-27,2,34.99,Damaged in shipping
167,1439,ORD-001439,154,39,2024-06-07,4,14.99,Not as described
168,123,ORD-000123,3,24,2023-12-11,1,89.99,Damaged in shipping
169,425,ORD-000425,68,28,2024-07-08,2,39.99,Defective product
170,1329,ORD-001329,50,19,2022-12-29,3,14.99,Wrong item received
171,1290,ORD-001290,172,25,2024-07-05,3,59.99,Wrong item received
172,2,ORD-000002,66,8,2022-12-12,3,29.99,Changed mind
173,850,ORD-000850,85,15,2024-08-25,3,49.99,Changed mind
174,1102,ORD-001102,119,9,2024-12-19,3,79.99,Better price found
175,169,ORD-000169,113,32,2024-05-23,1,14.99,Not as described
176,1879,ORD-001879,26,35,2022-11-15,4,24.99,Changed mind
177,1167,ORD-001167,113,33,2022-11-24,2,24.99,Not as described
178,1394,ORD-001394,109,2,2024-07-08,1,1199.99,Better price found
179,622,ORD-000622,105,29,2022-10-15,3,44.99,Changed mind
180,594,ORD-000594,42,30,2024-12-03,1,29.99,Defective product
181,220,ORD-000220,36,22,2023-01-05,2,59.99,Better price found
182,1551,ORD-001551,157,15,2024-11-04,1,49.99,Changed mind
183,926,ORD-000926,37,3,2023-05-30,2,1599.99,Better price found
184,123,ORD-000123,3,9,2023-12-14,2,79.99,Wrong item received
185,54,ORD-000054,15,36,2022-10-17,4,149.99,Defective product
186,750,ORD-000750,64,37,2022-09-19,4,24.99,Better price found
187,1993,ORD-001993,187,36,2023-12-20,5,149.99,Damaged in shipping
188,244,ORD-000244,147,33,2024-01-22,2,24.99,Damaged in shipping
189,159,ORD-000159,200,16,2022-05-13,1,39.99,Changed mind
190,273,ORD-000273,186,15,2024-01-01,3,49.99,Damaged in shipping
191,1859,ORD-001859,98,16,2024-05-05,2,39.99,Not as described
192,707,ORD-000707,189,6,2024-07-10,1,299.99,Not as described
193,1202,ORD-001202,37,13,2023-01-29,2,49.99,Wrong item received
194,644,ORD-000644,193,34,2024-12-06,4,89.99,Wrong item received
195,1746,ORD-001746,135,33,2022-12-28,4,24.99,Damaged in shipping
196,568,ORD-000568,63,32,2023-09-28,2,14.99,Defective product
197,426,ORD-000426,165,3,2024-07-13,1,1599.99,Better price found
198,510,ORD-000510,190,16,2022-03-08,2,39.99,Damaged in shipping
199,964,ORD-000964,170,31,2022-09-19,4,19.99,Wrong item received
200,1504,ORD-001504,142,31,2023-12-18,3,19.99,Better price found
201,305,ORD-000305,73,29,2023-11-28,1,44.99,Damaged in shipping
202,280,ORD-000280,95,8,2024-10-18,1,29.99,Wrong item received
203,1921,ORD-001921,9,15,2024-09-01,1,49.99,Better price found
204,714,ORD-000714,100,15,2023-11-12,1,49.99,Not as described
205,18,ORD-000018,17,12,2023-09-10,2,59.99,Damaged in shipping
206,148,ORD-000148,81,14,2022-09-22,3,34.99,Better price found
207,1362,ORD-001362,177,7,2023-09-13,3,49.99,Defective product
208,62,ORD-000062,37,20,2024-12-17,2,29.99,Damaged in shipping
209,1716,ORD-001716,94,33,2024-09-09,1,24.99,Damaged in shipping
210,458,ORD-000458,76,6,2023-08-16,3,299.99,Damaged in shipping
211,1495,ORD-001495,183,6,2023-09-14,2,299.99,Defective product
212,1577,ORD-001577,84,40,2023-02-03,2,12.99,Damaged in shipping
213,117,ORD-000117,148,29,2023-07-31,1,44.99,Damaged in shipping
214,1033,ORD-001033,174,18,2023-07-19,2,129.99,Wrong item received
215,1294,ORD-001294,89,6,2024-03-07,1,299.99,Defective product
216,913,ORD-000913,41,34,2022-06-15,1,89.99,Changed mind
217,1294,ORD-001294,89,24,2024-03-04,1,89.99,Not as described
218,356,ORD-000356,66,26,2024-03-28,2,79.99,Better price found
219,1355,ORD-001355,91,36,2024-02-15,1,149.99,Changed mind
220,177,ORD-000177,126,30,2023-07-25,3,29.99,Not as described
221,1540,ORD-001540,42,34,2024-12-04,1,89.99,Changed mind
222,1413,ORD-001413,108,14,2022-10-27,1,34.99,Wrong item received
223,412,ORD-000412,121,20,2023-11-29,1,29.99,Defective product
224,1268,ORD-001268,23,12,2023-01-31,5,59.99,Damaged in shipping
225,914,ORD-000914,15,13,2022-09-13,2,49.99,Wrong item received
226,704,ORD-000704,69,24,2024-10-23,3,89.99,Better price found
227,1706,ORD-001706,169,32,2023-01-10,1,14.99,Damaged in shipping
228,1143,ORD-001143,199,11,2022-06-11,2,19.99,Not as described
229,30,ORD-000030,3,26,2022-08-29,3,79.99,Better price found
230,42,ORD-000042,164,22,2022-05-02,2,59.99,Not as described
231,1850,ORD-001850,53,33,2024-11-13,3,24.99,Not as described
232,1049,ORD-001049,107,29,2022-09-22,3,44.99,Defective product
233,740,ORD-000740,70,7,2023-04-26,2,49.99,Defective product
234,1501,ORD-001501,45,5,2022-08-27,1,549.99,Wrong item received
235,552,ORD-000552,15,12,2022-06-16,1,59.99,Defective product
236,640,ORD-000640,160,10,2024-06-30,2,39.99,Better price found
237,881,ORD-000881,71,40,2023-02-12,1,12.99,Damaged in shipping
238,1374,ORD-001374,75,12,2024-05-09,4,59.99,Wrong item received
239,293,ORD-000293,47,16,2023-02-23,1,39.99,Not as described
240,1443,ORD-001443,6,29,2024-09-28,2,44.99,Better price found
241,1380,ORD-001380,146,20,2022-01-31,2,29.99,Defective product
242,468,ORD-000468,13,35,2024-01-04,2,24.99,Not as described
243,717,ORD-000717,56,22,2023-09-10,1,59.99,Not as described
244,357,ORD-000357,157,20,2023-04-21,4,29.99,Damaged in shipping
245,662,ORD-000662,138,14,2024-09-24,2,34.99,Defective product
246,635,ORD-000635,117,1,2022-04-24,2,899.99,Damaged in shipping
247,1331,ORD-001331,177,11,2022-03-27,4,19.99,Wrong item received
248,369,ORD-000369,140,29,2024-04-19,1,44.99,Defective product
249,36,ORD-000036,123,10,2024-12-31,1,39.99,Changed mind
250,838,ORD-000838,161,12,2022-08-20,1,59.99,Defective product
251,920,ORD-000920,158,22,2024-02-24,2,59.99,Changed mind
252,303,ORD-000303,42,24,2023-04-02,1,89.99,Not as described
253,1411,ORD-001411,122,25,2023-06-12,2,59.99,Not as described
254,969,ORD-000969,93,15,2023-03-08,2,49.99,Better price found
255,435,ORD-000435,5,4,2022-04-14,1,699.99,Defective product
256,641,ORD-000641,49,21,2025-01-20,4,34.99,Better price found
257,322,ORD-000322,162,17,2022-04-15,2,34.99,Defective product
258,1263,ORD-001263,154,5,2024-06-12,2,549.99,Defective product
259,1124,ORD-001124,118,27,2024-12-17,1,24.99,Defective product
260,896,ORD-000896,15,31,2022-10-09,1,19.99,Defective product
261,932,ORD-000932,170,23,2023-07-06,3,49.99,Damaged in shipping
262,375,ORD-000375,114,40,2022-02-13,5,12.99,Damaged in shipping
263,630,ORD-000630,33,27,2024-12-09,1,24.99,Damaged in shipping
264,1490,ORD-001490,159,23,2022-11-14,2,49.99,Wrong item received
265,570,ORD-000570,30,29,2023-12-29,2,44.99,Defective product
266,1505,ORD-001505,47,21,2024-01-04,2,34.99,Not as described
267,1523,ORD-001523,29,40,2024-04-14,1,12.99,Changed mind
268,1261,ORD-001261,173,5,2022-03-19,4,549.99,Changed mind
269,1700,ORD-001700,179,40,2022-02-16,3,12.99,Defective product
270,1170,ORD-001170,169,5,2024-07-15,2,549.99,Better price found
271,1550,ORD-001550,61,37,2022-06-15,1,24.99,Better price found
272,1363,ORD-001363,190,38,2022-11-05,1,34.99,Wrong item received
273,98,ORD-000098,177,26,2023-05-03,2,79.99,Changed mind
274,1368,ORD-001368,30,37,2023-02-06,1,24.99,Not as described
275,669,ORD-000669,172,16,2024-09-14,4,39.99,Better price found
276,817,ORD-000817,40,5,2022-08-22,1,549.99,Damaged in shipping
277,1964,ORD-001964,195,30,2024-02-07,4,29.99,Not as described
278,948,ORD-000948,177,19,2022-06-06,1,14.99,Defective product
279,576,ORD-000576,143,4,2022-12-03,2,699.99,Not as described
280,141,ORD-000141,95,40,2023-09-08,2,12.99,Defective product
281,899,ORD-000899,31,3,2024-03-20,2,1599.99,Better price found
282,1389,ORD-001389,171,15,2023-02-11,1,49.99,Defective product
283,229,ORD-000229,117,8,2024-09-23,1,29.99,Damaged in shipping
284,1537,ORD-001537,109,31,2023-01-21,1,19.99,Damaged in shipping
285,1057,ORD-001057,131,40,2024-12-04,2,12.99,Changed mind
286,1096,ORD-001096,190,11,2023-09-19,1,19.99,Not as described
287,327,ORD-000327,138,15,2022-09-06,1,49.99,Changed mind
288,1662,ORD-001662,12,13,2023-06-16,4,49.99,Changed mind
289,1779,ORD-001779,44,26,2024-01-26,3,79.99,Damaged in shipping
290,1432,ORD-001432,196,5,2024-03-20,3,549.99,Changed mind
291,56,ORD-000056,165,6,2024-05-26,5,299.99,Not as described
292,279,ORD-000279,145,36,2023-08-01,4,149.99,Defective product
293,1601,ORD-001601,18,17,2024-04-22,2,34.99,Better price found
294,1997,ORD-001997,114,8,2023-11-27,1,29.99,Changed mind
295,1823,ORD-001823,200,28,2022-09-06,1,39.99,Defective product
296,605,ORD-000605,47,40,2022-07-31,2,12.99,Changed mind
297,549,ORD-000549,20,2,2024-10-31,1,1199.99,Damaged in shipping
298,969,ORD-000969,93,11,2023-02-25,1,19.99,Wrong item received
299,586,ORD-000586,159,25,2024-07-22,1,59.99,Wrong item received
300,128,ORD-000128,166,39,2023-05-19,1,14.99,Not as described
